,region,in-sample_population,total_regional_population
77,Caribbean,36.6,44.0
68,Central America,51.3,182.0
129,Central Asia,80.4,80.0
157,East Asia,1614.1,1648.0
27,Eastern Africa,480.90000000000003,483.0
188,Eastern Europe,266.2,285.0
48,Middle Africa,201.8,202.0
2,Northern Africa,255.9,256.0
167,Northern Europe,27.8,108.0
215,Oceania,11.1,45.0
95,South America,425.0,426.0
135,South Asia,2029.2,2029.0
145,Southeast Asia,564.1,682.0
58,Southern Africa,68.3,70.0
199,Southern Europe,151.5,152.0
10,Western Africa,442.3,442.0
110,Western Asia,295.4,299.0
178,Western Europe,181.3,199.0
